Fecha,Superior,Regular,Diesel
01-ene-2021,21.91,21.11,17.61
02-ene-2021,21.91,21.11,17.61
03-ene-2021,21.91,21.11,17.61
04-ene-2021,21.91,21.11,17.61
05-ene-2021,21.91,21.11,17.61
06-ene-2021,21.91,21.11,17.61
07-ene-2021,21.91,21.11,17.61
08-ene-2021,21.91,21.11,17.61
09-ene-2021,21.91,21.11,17.61
10-ene-2021,21.91,21.11,17.61
11-ene-2021,22.39,21.59,17.69
12-ene-2021,22.39,21.59,17.69
13-ene-2021,22.39,21.59,17.69
14-ene-2021,22.39,21.59,17.69
15-ene-2021,22.39,21.59,17.69
16-ene-2021,22.39,21.59,17.69
17-ene-2021,22.39,21.59,17.69
18-ene-2021,23.21,22.41,18.30
19-ene-2021,23.21,22.41,18.30
20-ene-2021,23.21,22.41,18.30
21-ene-2021,23.21,22.41,18.30
22-ene-2021,23.21,22.41,18.30
23-ene-2021,23.21,22.41,18.30
24-ene-2021,23.21,22.41,18.30
25-ene-2021,23.44,22.64,18.47
26-ene-2021,23.44,22.64,18.47
27-ene-2021,23.44,22.64,18.47
28-ene-2021,23.44,22.64,18.47
29-ene-2021,23.44,22.64,18.47
30-ene-2021,23.44,22.64,18.47
31-ene-2021,23.44,22.64,18.47
01-feb-2021,23.57,22.77,18.57
02-feb-2021,23.57,22.77,18.57
03-feb-2021,23.57,22.77,18.57
04-feb-2021,23.57,22.77,18.57
05-feb-2021,23.57,22.77,18.57
06-feb-2021,23.57,22.77,18.57
07-feb-2021,23.57,22.77,18.57
08-feb-2021,23.98,23.18,18.98
09-feb-2021,23.98,23.18,18.98
10-feb-2021,23.98,23.18,18.98
11-feb-2021,23.98,23.18,18.98
12-feb-2021,23.98,23.18,18.98
13-feb-2021,23.98,23.18,18.98
14-feb-2021,23.98,23.18,18.98
15-feb-2021,24.39,23.59,19.79
16-feb-2021,24.39,23.59,19.79
17-feb-2021,24.39,23.59,19.79
18-feb-2021,24.39,23.59,19.79
19-feb-2021,24.39,23.59,19.79
20-feb-2021,24.39,23.59,19.79
21-feb-2021,24.39,23.59,19.79
22-feb-2021,25.10,24.30,20.50
23-feb-2021,25.10,24.30,20.50
24-feb-2021,25.10,24.30,20.50
25-feb-2021,25.10,24.30,20.50
26-feb-2021,25.10,24.30,20.50
27-feb-2021,25.10,24.30,20.50
28-feb-2021,25.10,24.30,20.50
01-mar-2021,25.85,25.05,20.86
02-mar-2021,25.85,25.05,20.86
03-mar-2021,25.85,25.05,20.86
04-mar-2021,25.85,25.05,20.86
05-mar-2021,25.85,25.05,20.86
06-mar-2021,25.85,25.05,20.86
07-mar-2021,25.85,25.05,20.86
08-mar-2021,26.60,25.81,21.31
09-mar-2021,26.60,25.81,21.31
10-mar-2021,26.60,25.81,21.31
11-mar-2021,26.60,25.81,21.31
12-mar-2021,26.60,25.81,21.31
13-mar-2021,26.60,25.81,21.31
14-mar-2021,26.60,25.81,21.31
15-mar-2021,27.27,26.47,21.68
16-mar-2021,27.27,26.47,21.68
17-mar-2021,27.27,26.47,21.68
18-mar-2021,27.27,26.47,21.68
19-mar-2021,27.27,26.47,21.68
20-mar-2021,27.27,26.47,21.68
21-mar-2021,27.27,26.47,21.68
22-mar-2021,27.02,26.22,21.41
23-mar-2021,27.02,26.22,21.41
24-mar-2021,27.02,26.22,21.41
25-mar-2021,27.02,26.22,21.41
26-mar-2021,27.02,26.22,21.41
27-mar-2021,27.02,26.22,21.41
28-mar-2021,27.02,26.22,21.41
29-mar-2021,26.35,25.56,20.80
30-mar-2021,26.35,25.56,20.80
31-mar-2021,26.35,25.56,20.80
01-abr-2021,26.35,25.56,20.80
02-abr-2021,26.35,25.56,20.80
